label,path
35,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/47608.wav
198,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/208689.wav
18,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/153635.wav
194,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/372657.wav
177,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/2217.wav
167,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/181773.wav
106,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/219784.wav
131,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/77913.wav
19,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/374226.wav
69,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/113211.wav
194,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/360253.wav
107,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/329135.wav
78,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/349819.wav
33,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/147898.wav
41,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/192069.wav
89,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/33189.wav
35,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/339326.wav
111,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/116369.wav
105,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/32297.wav
70,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/97159.wav
124,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/22084.wav
71,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/234170.wav
47,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/140649.wav
18,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/356087.wav
166,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/431535.wav
69,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/157335.wav
169,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/183602.wav
167,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/406399.wav
91,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/234616.wav
108,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/233179.wav
21,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/101173.wav
51,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/140891.wav
10,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/96521.wav
112,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/107502.wav
6,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/108631.wav
155,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/270054.wav
194,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/354690.wav
134,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/46270.wav
108,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/79080.wav
