label,path
107,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/329135.wav
41,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/192069.wav
71,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/234170.wav
47,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/140649.wav
108,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/233179.wav
51,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/140891.wav
10,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/96521.wav
112,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/107502.wav
134,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/46270.wav
108,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/79080.wav
159,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/190118.wav
26,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/415483.wav
41,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/250390.wav
104,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/119728.wav
22,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/147132.wav
52,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/244483.wav
120,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/158774.wav
7,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/90622.wav
34,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/85549.wav
30,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/18318.wav
7,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/81707.wav
96,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/373575.wav
143,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/239468.wav
186,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/186746.wav
141,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/237323.wav
47,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/140675.wav
50,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/336997.wav
108,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/233145.wav
154,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/146204.wav
10,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/111348.wav
159,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/429352.wav
47,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/140661.wav
107,/tmp\sound_datasets\fsd50k\FSD50K.dev_audio/320139.wav
